nRows,nColumns,maxTime,threshold,seed,generations,initDuration,runDuration,maxMemory
9350,9350,60000,500,1,41,6610,54515,7574915072
9400,9400,60000,500,1,40,6642,53755,7642023936
9450,9450,60000,500,1,40,6581,54283,7730104320
9500,9500,60000,500,1,39,6612,53549,7822379008
9550,9550,60000,500,1,39,6784,54168,7904167936
9600,9600,60000,500,1,38,6743,53314,7954499584
9650,9650,60000,500,1,38,6742,53951,8071940096
9700,9700,60000,500,1,37,6919,53241,8143243264
9750,9750,60000,500,1,36,7042,53132,8208254976
9800,9800,60000,500,1,37,6932,54299,8306821120
9850,9850,60000,500,1,36,6947,53774,8382318592
9900,9900,60000,500,1,36,7139,54243,8487176192
9950,9950,60000,500,1,35,7218,53205,8557182464
10000,10000,60000,500,1,34,8845,52139,8422672480
10050,10050,60000,500,1,30,8849,51380,8500090456
10100,10100,60000,500,1,25,20499,39637,8581277936
